Particles: 0, Frames: 400, Total duration: 0.7024544, Avg. time per frame: 0.001756136
Particles: 1024, Frames: 400, Total duration: 0.564951, Avg. time per frame: 0.001412377
Particles: 2048, Frames: 400, Total duration: 0.4858829, Avg. time per frame: 0.001214707
Particles: 3072, Frames: 400, Total duration: 0.6197985, Avg. time per frame: 0.001549496
Particles: 4096, Frames: 400, Total duration: 0.7722839, Avg. time per frame: 0.00193071
Particles: 5120, Frames: 400, Total duration: 0.9241424, Avg. time per frame: 0.002310356
Particles: 6144, Frames: 400, Total duration: 1.06887, Avg. time per frame: 0.002672175
Particles: 7168, Frames: 400, Total duration: 1.207883, Avg. time per frame: 0.003019709
Particles: 8192, Frames: 400, Total duration: 1.364223, Avg. time per frame: 0.003410557
Particles: 9216, Frames: 400, Total duration: 1.516744, Avg. time per frame: 0.00379186
Particles: 10240, Frames: 400, Total duration: 1.671096, Avg. time per frame: 0.00417774
Particles: 11264, Frames: 400, Total duration: 1.818699, Avg. time per frame: 0.004546748
Particles: 12288, Frames: 400, Total duration: 1.970564, Avg. time per frame: 0.00492641
Particles: 13312, Frames: 400, Total duration: 2.119545, Avg. time per frame: 0.005298863
Particles: 14336, Frames: 400, Total duration: 2.278995, Avg. time per frame: 0.005697487
Particles: 15360, Frames: 400, Total duration: 2.439502, Avg. time per frame: 0.006098756
Particles: 16384, Frames: 400, Total duration: 2.587957, Avg. time per frame: 0.006469892
Particles: 17408, Frames: 400, Total duration: 2.741995, Avg. time per frame: 0.006854988
Particles: 18432, Frames: 400, Total duration: 2.900548, Avg. time per frame: 0.007251371
Particles: 19456, Frames: 400, Total duration: 3.0635, Avg. time per frame: 0.00765875
Particles: 20480, Frames: 400, Total duration: 3.220468, Avg. time per frame: 0.008051171
Particles: 21504, Frames: 400, Total duration: 3.3778, Avg. time per frame: 0.008444501
Particles: 22528, Frames: 400, Total duration: 3.570813, Avg. time per frame: 0.008927031
Particles: 23552, Frames: 400, Total duration: 3.736829, Avg. time per frame: 0.009342072
